,BRKG,KBSM,LINC,MNHT,CLMB,STIL,OVTN,TMPL,PKLE,KING
BRKG,1,0.925666909,0.99,0.915875055,0.922152866,0.775994286,0.939828914,0.813215305,0.866187535,0.866670131
KBSM,0.925666909,1,0.99,0.99,0.99,0.99,0.981624252,0.935788146,0.907947705,0.860939685
LINC,0.99,0.99,1,0.979175828,0.99,0.99,0.978747318,0.894756452,0.943306334,0.834542942
MNHT,0.915875055,0.99,0.979175828,1,0.990000565,0.894760498,0.98878851,0.964285788,0.882206586,0.80429371
CLMB,0.922152866,0.99,0.99,0.990000565,1,0.942192227,0.99,0.99,0.978494843,0.896687346
STIL,0.775994286,0.99,0.99,0.894760498,0.942192227,1,0.99,0.895739887,0.988900059,0.732076553
OVTN,0.939828914,0.981624252,0.978747318,0.98878851,0.99,0.99,1,0.998441234,0.938008955,0.874665864
TMPL,0.813215305,0.935788146,0.894756452,0.964285788,0.99,0.895739887,0.998441234,1,0.866676037,0.920299382
PKLE,0.866187535,0.907947705,0.943306334,0.882206586,0.978494843,0.988900059,0.938008955,0.866676037,1,0.936663862
KING,0.866670131,0.860939685,0.834542942,0.80429371,0.896687346,0.732076553,0.874665864,0.920299382,0.936663862,1
