"GO.ID","Term","Annotated","Significant","Expected","raw.p.value","Trait","pr"
"GO:0005739","mitochondrion",230,31,20.32,"0.0078","LEN","CC"
"GO:0003677","DNA binding",2415,266,199.97,"0.00015","LEN","MF"
"GO:0003690","double-stranded DNA binding",112,21,9.27,"0.00024","LEN","MF"
"GO:0046983","protein dimerization activity",683,78,56.56,"0.00238","LEN","MF"
"GO:0004140","dephospho-CoA kinase activity",9,4,0.75,"0.00421","LEN","MF"
"GO:0004834","tryptophan synthase activity",16,5,1.32,"0.00779","LEN","MF"
"GO:0030246","carbohydrate binding",405,44,33.54,"0.00906","LEN","MF"
"GO:0005975","carbohydrate metabolic process",1078,103,88.61,"0.0041","LEN","BP"
"GO:0007017","microtubule-based process",225,24,18.5,"0.0044","LEN","BP"
"GO:0006396","RNA processing",372,29,30.58,"0.0078","LEN","BP"
"GO:0016760","cellulose synthase (UDP-forming) activity",32,8,1.86,"0.00038","PRM","MF"
"GO:0003677","DNA binding",2415,179,140.09,"0.00196","PRM","MF"
"GO:0016149","translation release factor activity, codon specific",18,5,1.04,"0.00296","PRM","MF"
"GO:0004807","triose-phosphate isomerase activity",7,3,0.41,"0.00571","PRM","MF"
"GO:0005337","nucleoside transmembrane transporter activity",7,3,0.41,"0.00571","PRM","MF"
"GO:0030244","cellulose biosynthetic process",38,9,2.26,"0.00030","PRM","BP"
"GO:0006352","DNA-templated transcription, initiation",70,10,4.16,"0.00096","PRM","BP"
"GO:0009733","response to auxin",125,17,7.42,"0.00116","PRM","BP"
"GO:0005975","carbohydrate metabolic process",1078,83,64.01,"0.00251","PRM","BP"
"GO:0006415","translational termination",27,6,1.6,"0.00669","PRM","BP"
"GO:0008250","oligosaccharyltransferase complex",6,2,0.14,"0.0078","SEC","CC"
"GO:0005515","protein binding",5578,145,114.26,"0.00021","SEC","MF"
"GO:0004525","ribonuclease III activity",16,4,0.33,"0.00026","SEC","MF"
"GO:0015079","potassium ion transmembrane transporter activity",56,6,1.15,"0.00098","SEC","MF"
"GO:0010309","acireductone dioxygenase [iron(II)-requiring] activity",7,2,0.14,"0.00822","SEC","MF"
"GO:0071805","potassium ion transmembrane transport",56,6,1.07,"0.00069","SEC","BP"
"GO:0006396","RNA processing",372,14,7.14,"0.00507","SEC","BP"
